ibu,size,style,brewery_location,id,name,abv,brewery_name
50,16 oz.,American IPA,"Minneapolis, MN",2692,Get Together,4.5%,NorthGate Brewing 
26,16 oz.,Milk / Sweet Stout,"Minneapolis, MN",2691,Maggie's Leap,4.9%,NorthGate Brewing 
19,16 oz.,English Brown Ale,"Minneapolis, MN",2690,Wall's End,4.8%,NorthGate Brewing 
38,16 oz.,Pumpkin Ale,"Minneapolis, MN",2689,Pumpion,6.0%,NorthGate Brewing 
25,16 oz.,American Porter,"Minneapolis, MN",2688,Stronghold,6.0%,NorthGate Brewing 
47,16 oz.,Extra Special / Strong Bitter (ESB),"Minneapolis, MN",2687,Parapet ESB,5.6%,NorthGate Brewing 
68,16 oz.,American Double / Imperial IPA,"Louisville, KY",2686,Citra Ass Down,8.0%,Against the Grain Brewery
80,16 oz.,English Barleywine,"Louisville, KY",2685,London Balling,12.5%,Against the Grain Brewery
25,16 oz.,Milk / Sweet Stout,"Louisville, KY",2684,35 K,7.7%,Against the Grain Brewery
42,16 oz.,American Pale Ale (APA),"Louisville, KY",2683,A Beer,4.2%,Against the Grain Brewery
25,16 oz.,German Pilsener,"Louisville, KY",2682,Rules are Rules,5.0%,Against the Grain Brewery
21,16 oz.,Pumpkin Ale,"Louisville, KY",2681,Flesh Gourd'n,6.6%,Against the Grain Brewery
13,16 oz.,Belgian Pale Ale,"Louisville, KY",2680,Sho'nuff,4.0%,Against the Grain Brewery
17,16 oz.,American Pilsner,"Louisville, KY",2679,Bloody Show,5.5%,Against the Grain Brewery
68,16 oz.,American Double / Imperial IPA,"Louisville, KY",2678,Rico Sauvin,7.6%,Against the Grain Brewery
38,16 oz.,Saison / Farmhouse Ale,"Louisville, KY",2677,Coq de la Marche,5.1%,Against the Grain Brewery
N/A,16 oz.,American Wild Ale,"Louisville, KY",2676,Kamen Knuddeln,6.5%,Against the Grain Brewery
65,16 oz.,American IPA,"Louisville, KY",2675,Pile of Face,6.0%,Against the Grain Brewery
20,16 oz.,English Brown Ale,"Louisville, KY",2674,The Brown Note,5.0%,Against the Grain Brewery
18,16 oz.,Keller Bier / Zwickel Bier,"Framingham, MA",2673,House Lager,5.2%,Jack's Abby Craft Lagers
15,12 oz. ,American Pale Lager,"Framingham, MA",2672,Leisure Time,4.8%,Jack's Abby Craft Lagers
80,16 oz.,American India Pale Lager,"Framingham, MA",2671,Excess IPL,7.2%,Jack's Abby Craft Lagers
65,12 oz.,American India Pale Lager,"Framingham, MA",2670,Hoponius Union,6.7%,Jack's Abby Craft Lagers
45,12 oz.,American India Pale Lager,"Framingham, MA",2669,Calyptra,4.9%,Jack's Abby Craft Lagers
100,16 oz.,American Double / Imperial IPA,"San Diego, CA",2668,Habitus (2014),8.0%,Mike Hess Brewing Company
85,16 oz.,American IPA,"San Diego, CA",2667,Solis,7.5%,Mike Hess Brewing Company
24,16 oz.,Wheat Ale,"San Diego, CA",2666,Jucundus,6.0%,Mike Hess Brewing Company
100,16 oz.,American Double / Imperial IPA,"San Diego, CA",2664,Habitus,8.0%,Mike Hess Brewing Company
30,16 oz.,Cream Ale,"San Diego, CA",2663,Grazias,6.3%,Mike Hess Brewing Company
28,16 oz.,Kölsch,"San Diego, CA",2662,Claritas,5.8%,Mike Hess Brewing Company
19,12 oz.,American Pale Wheat Ale,"San Francisco, CA",2661,Park,4.7%,Fort Point Beer Company
16,12 oz.,American Amber / Red Ale,"San Francisco, CA",2660,Westfalia,5.6%,Fort Point Beer Company
17,12 oz.,Kölsch,"San Francisco, CA",2659,KSA,4.6%,Fort Point Beer Company
42,12 oz.,American IPA,"San Francisco, CA",2658,Villager,6.3%,Fort Point Beer Company
N/A,12 oz.,American Double / Imperial Stout,"Charleston, SC",2657,Blackbeard,9.3%,COAST Brewing Company
N/A,12 oz.,American Brown Ale,"Charleston, SC",2656,Rye Knot,6.2%,COAST Brewing Company
N/A,12 oz.,American Pale Ale (APA),"Charleston, SC",2655,Dead Arm,6.0%,COAST Brewing Company
N/A,16 oz.,Kölsch,"Charleston, SC",2654,32°/50° Kölsch ,4.8%,COAST Brewing Company
N/A,16 oz.,American IPA,"Charleston, SC",2653,HopArt,7.7%,COAST Brewing Company
N/A,16 oz.,American Double / Imperial IPA,"Charleston, SC",2652,Boy King,9.7%,COAST Brewing Company
N/A,12 oz.,American Pale Ale (APA),"Denver, CO",2650,Denver Pale Ale (Artist Series No. 1),5.0%,Great Divide Brewing Company
N/A,12 oz.,Old Ale,"Denver, CO",2649,Hibernation Ale,8.7%,Great Divide Brewing Company
N/A,12 oz.,American Pale Wheat Ale,"Denver, CO",2648,Whitewater,6.1%,Great Divide Brewing Company
N/A,12 oz.,American IPA,"Denver, CO",2647,Rumble,7.1%,Great Divide Brewing Company
N/A,12 oz.,Tripel,"Denver, CO",2646,Orabelle,8.3%,Great Divide Brewing Company
N/A,12 oz.,American IPA,"Denver, CO",2645,Lasso,5.0%,Great Divide Brewing Company
75,12 oz.,Russian Imperial Stout,"Denver, CO",2644,Yeti  Imperial Stout,9.5%,Great Divide Brewing Company
N/A,12 oz.,Saison / Farmhouse Ale,"Denver, CO",2643,Colette,7.3%,Great Divide Brewing Company
N/A,12 oz.,American IPA,"Denver, CO",2642,Titan IPA,7.1%,Great Divide Brewing Company
35,16 oz.,American Porter,"Bridgman, MI",2640,Peck's Porter,6.5%,Tapistry Brewing
54,16 oz.,American Stout,"Holland, MI",2639,Dark Star,8.0%,Big Lake Brewing
N/A,16 oz.,American Pale Ale (APA),"Grand Rapids, MI",2638,G. B. Russo’s Italian Pistachio Pale Ale,5.2%,The Mitten Brewing Company
N/A,16 oz.,Saison / Farmhouse Ale,"Grand Rapids, MI",2637,Belfort,6.7%,Brewery Vivant
N/A,16 oz.,Belgian Pale Ale,"Grand Rapids, MI",2636,Star Runner,6.0%,Brewery Vivant
12,16 oz.,American Pale Lager,"Petoskey, MI",2635,Sparkle,4.1%,Petoskey Brewing
47,12 oz.,American IPA,"Marquette, MI",2634,Nordskye ,4.8%,Blackrocks Brewery
10,12 oz.,American Brown Ale,"Comstock Park, MI",2633,Hotbox Brown,5.5%,Perrin Brewing Company
15,12 oz.,American Blonde Ale,"Comstock Park, MI",2632,Gold,4.8%,Perrin Brewing Company
N/A,12 oz.,American Black Ale,"Comstock Park, MI",2631,Black,5.8%,Perrin Brewing Company
65,12 oz.,American IPA,"Comstock Park, MI",2630,98 Problems (Cuz A Hop Ain't One),6.5%,Perrin Brewing Company
40,12 oz.,American Pale Ale (APA),"Comstock Park, MI",2629,Veteran’s Pale Ale (VPA),5.0%,Perrin Brewing Company
35,12 oz.,American IPA,"Comstock Park, MI",2628,Grapefruit IPA,5.0%,Perrin Brewing Company
72,12 oz.,American IPA,"South Lyon, MI",2627,Train Hopper,5.8%,Witch's Hat Brewing Company
N/A,12 oz.,American Brown Ale,"South Lyon, MI",2626,Edward’s Portly Brown,4.5%,Witch's Hat Brewing Company
50,12 oz.,Scotch Ale / Wee Heavy,"Grand Rapids, MI",2625,Dirty Bastard,8.5%,Founders Brewing Company
N/A,16 oz.,Doppelbock,"Indianapolis, IN",2624,Deflator,6.5%,Flat 12 Bierwerks
20,16 oz.,American Porter,"Evansville, IN",2623,Cafe Leche,5.8%,Tin Man Brewing Company
12,16 oz.,Fruit / Vegetable Beer,"Evansville, IN",2622,Damascene Apricot Sour,5.2%,Tin Man Brewing Company
90,16 oz.,Russian Imperial Stout,"Evansville, IN",2621,Csar,12.0%,Tin Man Brewing Company
75,16 oz.,Rye Beer,"Indianapolis, IN",2620,Saucy Intruder,7.2%,Black Acre Brewing Co.
N/A,16 oz.,American Pale Ale (APA),"Plainfield, IN",2619,Insert Hop Reference,5.8%,Brew Link Brewing
46,16 oz.,American IPA,"Granger, IN",2618,Thai.p.a,7.0%,Bare Hands Brewery
64,16 oz.,American Pale Wheat Ale,"Martinsville, IN",2617,Citra Faced,5.5%,Three Pints Brewing
31,16 oz.,Oatmeal Stout,"Martinsville, IN",2616,Pole Barn Stout,5.5%,Three Pints Brewing
37,16 oz.,American Pale Ale (APA),"Martinsville, IN",2615,Pale,5.4%,Three Pints Brewing
27,16 oz.,California Common / Steam Beer,"Martinsville, IN",2614,Yoshi's Nectar,5.3%,Three Pints Brewing
N/A,16 oz.,Oatmeal Stout,"Valparaiso, IN",2613,Feel Like Maplin' Love,5.5%,Four Fathers Brewing 
N/A,16 oz.,Belgian Pale Ale,"Valparaiso, IN",2612,Father's Beer,5.0%,Four Fathers Brewing 
N/A,16 oz.,American IPA,"Valparaiso, IN",2611,The 26th,6.0%,Four Fathers Brewing 
90,16 oz.,American IPA,"Valparaiso, IN",2610,The Gadget,6.4%,Four Fathers Brewing 
58,12 oz.,American Pale Ale (APA),"Indianapolis, IN",2609,Tribute,5.8%,Indiana City Brewing
N/A,16 oz.,American Brown Ale,"Michigan City, IN",2608,Wrath of Pele,6.5%,Burn 'Em Brewing
N/A,16 oz.,American Black Ale,"Michigan City, IN",2607,Black Beer'd,6.8%,Burn 'Em Brewing
N/A,24 oz.,Fruit / Vegetable Beer,"Michigan City, IN",2606,Mr. Tea,7.8%,Burn 'Em Brewing
29,16 oz.,Altbier,"Indianapolis, IN",2605,Tip Off,5.2%,Sun King Brewing Company
23,16 oz.,American Blonde Ale,"Mishawaka, IN",2604,Blonde Czich,4.9%,Evil Czech Brewery
N/A,16 oz.,American IPA,"Columbus, IN",2603,Galaxyfest,6.5%,450 North Brewing Company
45,16 oz.,American IPA,"Columbus, IN",2602,Citrafest,5.0%,450 North Brewing Company
22,12 oz.,Dubbel,"Bargersville, IN",2601,Deduction,8.0%,Taxman Brewing Company
90,16 oz.,American Double / Imperial IPA,"Seven Points, TX",2600,Gone A-Rye,8.5%,Cedar Creek Brewery
20,12 oz.,American Porter,"Chandler, AZ",2599,Sex Panther,6.9%,SanTan Brewing Company
